image_filename,mask_filename,binary_mask_filename,patch_labels_filename,hard_neg_filename,soft_target_filename,transform_policy,flip,blend_mode,scale_factor,rotation_angle,source_bbox,target_bbox,source_category_id,source_category_name,source_supercategory,placement_tier,same_cat_instance_count,source_texture_var,dest_texture_var,bg_similarity_score,image_height,image_width
000000079971.png,000000079971_mask.png,000000079971_binary.png,000000079971_patches.npy,000000079971_hard_neg.npy,,coverage_like,1,paste,1.204,-3.988,"(95, 319, 170, 173)","(237, 167, 249, 252)",86,vase,indoor,no_candidates,1,4367.82,3209.26,4.1843,499,500
000000004444.png,000000004444_mask.png,000000004444_binary.png,000000004444_patches.npy,000000004444_hard_neg.npy,,coverage_like,1,paste,0.758,-6.488,"(496, 212, 106, 209)","(496, 36, 117, 186)",62,chair,furniture,same_category,10,1271.01,3232.32,3.1118,427,640
000000525050.png,000000525050_mask.png,000000525050_binary.png,000000525050_patches.npy,000000525050_hard_neg.npy,,coverage_like,1,paste,0.896,6.301,"(1, 94, 153, 166)","(261, 92, 176, 186)",13,stop sign,outdoor,no_candidates,1,2630.0,1111.13,2.1677,640,480
000000296384.png,000000296384_mask.png,000000296384_binary.png,000000296384_patches.npy,000000296384_hard_neg.npy,,coverage_like,1,paste,1.062,-0.818,"(221, 133, 73, 289)","(527, 61, 107, 333)",1,person,person,same_category,8,3811.53,2672.35,1.8694,457,640
000000073427.png,000000073427_mask.png,000000073427_binary.png,000000073427_patches.npy,000000073427_hard_neg.npy,,coverage_like,0,paste,1.019,-1.15,"(1, 320, 43, 199)","(233, 403, 72, 228)",1,person,person,same_category,3,1400.99,2446.46,2.6487,640,429
000000259572.png,000000259572_mask.png,000000259572_binary.png,000000259572_patches.npy,000000259572_hard_neg.npy,,coverage_like,0,paste,0.98,4.568,"(0, 266, 175, 157)","(47, 5, 208, 192)",84,book,indoor,same_category,3,2458.41,47.86,1.826,480,640
000000063812.png,000000063812_mask.png,000000063812_binary.png,000000063812_patches.npy,000000063812_hard_neg.npy,,coverage_like,1,paste,0.93,6.18,"(445, 157, 133, 198)","(167, 120, 167, 220)",1,person,person,no_candidates,6,4921.3,5196.82,2.227,427,640
000000331822.png,000000331822_mask.png,000000331822_binary.png,000000331822_patches.npy,000000331822_hard_neg.npy,,coverage_like,1,paste,1.002,3.06,"(134, 300, 75, 104)","(62, 32, 105, 133)",57,carrot,food,same_category,4,183.21,54.21,1.3648,428,640
000000445810.png,000000445810_mask.png,000000445810_binary.png,000000445810_patches.npy,000000445810_hard_neg.npy,,coverage_like,1,paste,1.227,8.159,"(0, 260, 94, 219)","(383, 0, 185, 315)",62,chair,furniture,vertical_band_fallback,4,920.66,3462.2,2.186,480,640
000000391255.png,000000391255_mask.png,000000391255_binary.png,000000391255_patches.npy,000000391255_hard_neg.npy,,coverage_like,0,paste,1.0,8.237,"(346, 343, 293, 76)","(310, 48, 327, 144)",67,dining table,furniture,vertical_band_fallback,2,4348.83,530.51,1.5425,427,640
